,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,marcona,64.5011,-165.4064,-9.09,98,36,6.24,US,1638897931
338,kruisfontein,21.4447,-157.8378,71.31,93,75,6.91,US,1638897933
339,bairiki,-1.45,-79.4667,90.14,51,83,1.36,EC,1638897931
340,hjorring,-45.5752,-72.0662,80.55,29,0,6.91,CL,1638897937
341,baykit,32.296,-81.2354,71.56,68,75,4.61,US,1638897939
342,alice springs,38.2019,20.4314,54.7,64,99,30.94,GR,1638897940
343,taoudenni,-33.4131,-56.5006,82.35,36,20,12.66,UY,1638897943
344,warqla,24.7833,85,66.11,88,20,0,IN,1638897945
345,benito juarez,26.5833,106.7167,54.09,50,90,4.47,CN,1638897797
346,raha,-33.0117,17.9442,71.65,82,59,25.32,ZA,1638897949
347,tessalit,-28.55,16.4333,64.33,77,0,21.81,NA,1638897953
348,port hedland,-3.2078,-43.4036,91.26,46,45,4.94,BR,1638897955
349,rovaniemi,-17.8167,25.15,77.09,73,75,1.14,BW,1638897957
350,faanui,-32.95,151.6667,66.69,87,61,1.99,AU,1638897792
351,salinopolis,54.1169,-112.4686,15.49,92,100,2.3,CA,1638897960
352,shubarkuduk,-4.8828,-66.8958,78.89,80,100,0.6,BR,1638897962
353,beidao,-22.8167,47.8333,78.12,82,0,13.76,MG,1638897964
354,passos,-20.7333,139.5,78.57,57,50,0,AU,1638897966
355,vostok,33.1222,46.1646,60.28,39,76,1.81,IR,1638897969
356,warmbad,4.5721,28.3955,84.18,28,100,2.44,SS,1638897971
357,arcachon,-35.4444,-60.8831,85.87,35,0,13.78,AR,1638897741
358,dekoa,30.7522,120.75,57.02,77,100,6.08,CN,1638897974
359,soyo,58.3019,-134.4197,33.8,93,90,26.46,US,1638897976
360,saint anthony,56.1622,97.1933,32.31,84,100,9.98,RU,1638897977
361,lamu,22.2394,68.9678,76.59,62,1,12.66,IN,1638897979
362,hovd,43.8228,144.1044,35.67,80,97,3.09,JP,1638897981
363,port shepstone,5.8833,-56.3167,81.9,75,97,3.38,SR,1638897983
364,pine bluff,40.9965,15.6514,40.5,73,42,15.23,IT,1638897985
365,ayame,54.8097,105.1578,14.2,96,100,1.92,RU,1638897987
